prcode,active,ldate
0225751,Y   ,56:07.4
0212133,Y   ,56:07.5
0168014,Y   ,56:49.6
0218513,N   ,20:42.9
0106530,Y   ,56:49.7
0200052,Y   ,56:49.7
0203313,Y   ,56:49.8
0048841,Y   ,56:49.9
0221135,Y   ,56:49.9
0226167,N   ,20:43.4
0230151,N   ,20:43.6
0080815,Y   ,56:50.1
0194088,Y   ,56:50.2
0235243,N   ,21:04.8
0226665,N   ,21:05.0
0211918,Y   ,56:50.2
0221721,Y   ,56:50.3
0215452,Y   ,56:50.3
0224391,Y   ,56:50.4
0235032,N   ,21:47.4
0236427,N   ,21:47.6
0024226,Y   ,56:50.4
0209826,Y   ,56:50.5
0221006,Y   ,56:50.6
0208346,Y   ,56:50.7
0207032,Y   ,56:50.7
0075660,Y   ,56:50.8
0179099,Y   ,56:50.8
0219327,Y   ,56:50.9
0219332,Y   ,56:50.9
0177035,Y   ,56:50.9
0195992,Y   ,56:51.0
0235936,N   ,21:48.3
0229977,N   ,21:48.4
0156695,Y   ,56:51.0
0224562,Y   ,56:51.1
0232036,N   ,21:48.6
0211478,Y   ,56:51.1
0214237,Y   ,56:51.2
0081717,Y   ,56:51.2
0225691,Y   ,56:51.3
0152524,Y   ,56:51.3
0196175,Y   ,56:51.4
0111401,Y   ,57:33.4
0214738,Y   ,57:33.5
0172243,Y   ,57:33.6
0199290,Y   ,57:33.7
0220997,Y   ,57:33.7
0237945,N   ,21:49.4
0036524,Y   ,57:33.8
0182834,Y   ,57:33.9
0220135,Y   ,57:33.9
0230419,N   ,22:10.7
0234577,N   ,22:10.9
0161650,Y   ,57:34.0
0126862,Y   ,57:34.1
0211634,N   ,22:11.1
0044855,Y   ,57:34.1
0216272,Y   ,57:34.2
0236959,N   ,22:32.4
0242337,N   ,22:32.6
0223097,N   ,22:32.7
0201599,Y   ,57:34.2
0032378,Y   ,57:34.3
0229268,N   ,22:32.9
0206807,Y   ,57:34.3
0205051,Y   ,57:34.5
0224596,Y   ,57:34.5
0107911,Y   ,57:34.5
0215530,Y   ,57:34.6
0220646,N   ,22:33.2
0209224,N   ,22:33.3
0226545,N   ,22:33.5
0090813,Y   ,57:34.7
0223103,Y   ,57:34.7
0241631,N   ,22:33.7
0214513,Y   ,57:34.8
0111339,Y   ,57:34.8
0046605,Y   ,57:34.9
0193867,Y   ,57:55.9
0007997,Y   ,57:56.0
0163302,Y   ,57:56.1
0208092,Y   ,57:56.2
0186879,N   ,22:55.4
0218948,Y   ,57:56.3
0076269,Y   ,57:56.3
0225792,Y   ,57:56.6
0175508,Y   ,57:56.7
0157409,Y   ,57:56.7
0234986,N   ,23:17.2
0057475,Y   ,57:56.8
0121731,Y   ,57:56.8
0184788,Y   ,57:56.9
0215082,Y   ,57:57.0
0210057,Y   ,57:57.0
0076553,Y   ,57:57.1
0110595,Y   ,57:57.2
0236003,N   ,23:17.8
0076560,Y   ,57:57.2
0164388,Y   ,57:57.3
0230843,N   ,24:00.1
0211359,N   ,24:00.3
0231494,N   ,24:21.4
0161168,Y   ,57:57.4
0161223,Y   ,57:57.4
0208186,Y   ,57:57.5
0222774,Y   ,57:57.5
0100353,Y   ,57:57.6
0201501,Y   ,57:57.7
0206342,Y   ,57:57.9
0193367,Y   ,57:57.9
0132090,Y   ,58:19.0
0213760,Y   ,58:19.0
0229283,Y   ,58:19.1
0054190,Y   ,58:19.1
0194590,Y   ,58:19.2
0211256,N   ,24:22.2
0209182,Y   ,58:19.3
0233205,N   ,24:43.4
0229631,N   ,24:43.4
0235914,N   ,24:43.6
0239321,Y   ,58:19.5
0223748,Y   ,58:19.5
0000999,Y   ,58:19.6
0185178,Y   ,58:19.6
0227302,Y   ,58:19.7
0239079,Y   ,58:19.8
0207092,Y   ,58:20.4
0006975,Y   ,58:20.5
0207257,Y   ,58:20.5
0241647,N   ,24:44.3
0201164,Y   ,58:20.6
0230997,N   ,24:44.7
0219934,Y   ,58:20.7
0220243,Y   ,58:20.8
0150207,Y   ,58:41.9
0235514,N   ,24:45.7
0232719,N   ,24:45.9
0124452,N   ,24:46.0
0171833,Y   ,58:41.9
0231240,N   ,25:07.5
0237293,N   ,25:07.7
0226899,Y   ,58:42.0
0240453,N   ,25:29.2
0141441,Y   ,58:42.1
0212470,Y   ,58:42.1
0236938,N   ,25:29.9
0213857,Y   ,58:42.2
0078895,Y   ,58:42.3
0204293,Y   ,58:42.4
0157175,Y   ,58:42.4
0155198,N   ,26:13.1
0134703,Y   ,58:42.5
0216800,Y   ,59:03.5
0154078,Y   ,59:03.6
0204117,Y   ,59:03.7
0214055,Y   ,59:03.8
0219960,N   ,26:35.3
0220625,Y   ,59:03.8
0216742,Y   ,59:03.9
0172389,Y   ,59:04.0
0217817,Y   ,59:04.1
0212027,N   ,26:36.6
0190194,Y   ,59:04.1
0148130,Y   ,59:04.2
0157580,Y   ,59:04.2
0136413,Y   ,59:04.3
0242465,N   ,26:38.0
0144318,N   ,26:38.1
0235361,N   ,26:38.3
0225972,Y   ,59:04.4
0059750,Y   ,59:04.5
0204571,Y   ,59:04.6
0230304,Y   ,59:04.7
0125055,N   ,27:00.5
0171437,Y   ,59:04.7
0209699,Y   ,59:04.8
0137068,Y   ,59:04.8
0206130,Y   ,59:26.0
0070037,Y   ,59:26.0
0005849,Y   ,59:47.3
0154206,Y   ,59:47.3
0152780,Y   ,59:47.4
0076311,Y   ,59:48.3
0229461,N   ,27:24.0
0227471,Y   ,59:48.5
0237768,N   ,27:24.5
0206839,Y   ,59:48.7
0098151,Y   ,59:48.8
0128767,Y   ,59:50.2
0225738,Y   ,59:50.4
0056959,N   ,27:46.7
0226858,N   ,27:46.9
0241617,N   ,27:47.1
0228450,N   ,27:47.2
0187620,Y   ,59:50.6
0234582,N   ,28:08.7
0234807,N   ,28:08.9
0199376,Y   ,59:50.6
0083755,Y   ,59:50.7
0194142,Y   ,59:50.8
0054191,Y   ,59:50.9
0068796,Y   ,59:50.9
0122356,Y   ,59:51.0
0185459,Y   ,59:51.1
0233207,N   ,28:11.1
0239320,N   ,28:11.2
0118707,Y   ,59:51.1
0157528,N   ,28:11.7
0195513,Y   ,59:51.2
0241072,N   ,28:54.2
0221091,Y   ,59:51.3
0180488,Y   ,59:51.3
0228073,N   ,29:37.0
0236698,N   ,29:37.2
0208023,Y   ,59:51.4
0202650,Y   ,59:51.4
0118365,Y   ,29:38.2
0062846,Y   ,29:38.3
0054772,Y   ,29:38.7
0215059,N   ,29:38.7
0079444,Y   ,29:38.9
0223961,N   ,29:39.1
0182575,Y   ,29:39.4
0228360,N   ,30:00.6
0003105,Y   ,30:22.0
0242342,N   ,30:22.1
0223161,N   ,30:22.3
0241653,N   ,30:22.5
0232327,Y   ,31:04.7
0066125,Y   ,31:05.1
0214913,Y   ,31:05.3
0215008,Y   ,31:05.6
0237877,N   ,31:05.8
0010757,Y   ,31:06.1
0234763,N   ,31:06.3
0200611,Y   ,31:48.5
0210679,Y   ,31:48.9
0217033,Y   ,31:49.2
0167058,Y   ,31:49.4
0209335,Y   ,31:49.7
0209337,Y   ,31:50.0
0192042,Y   ,31:50.3
0142687,Y   ,31:50.6
0196378,Y   ,31:50.9
0239316,N   ,31:51.0
0219961,Y   ,31:51.1
0128246,Y   ,31:51.3
0225395,N   ,32:54.5
0169620,Y   ,32:54.9
0233518,N   ,32:55.0
0224899,Y   ,32:55.2
0167086,Y   ,32:55.4
0064106,Y   ,33:16.8
0188208,Y   ,33:17.1
0114316,Y   ,33:17.4
0206810,Y   ,33:17.8
0025571,Y   ,34:00.1
0135279,Y   ,34:00.4
0213802,N   ,34:00.6
0125894,Y   ,34:00.9
0205603,Y   ,34:01.2
0217460,Y   ,34:01.5
0239106,Y   ,34:01.9
0118270,Y   ,34:02.2
0234575,N   ,34:02.3
0205849,N   ,34:02.5
0084254,Y   ,34:02.8
0155191,N   ,34:03.0
0242063,N   ,34:03.2
0094311,Y   ,34:24.5
0239344,N   ,34:24.7
0089914,Y   ,34:25.0
0081400,Y   ,34:25.3
0168725,Y   ,34:25.6
0221099,Y   ,34:26.0
0170597,Y   ,34:26.3
0214978,N   ,34:26.4
0110350,Y   ,34:26.9
0119147,Y   ,34:27.0
0204962,Y   ,34:27.3
0059643,Y   ,34:27.6
0191666,Y   ,35:09.9
0201913,Y   ,35:10.2
0213782,Y   ,35:10.5
0154278,Y   ,35:10.9
0140786,Y   ,35:11.1
0140975,Y   ,35:11.5
0210726,Y   ,35:11.8
0214554,Y   ,35:12.1
0054737,Y   ,35:12.3
0202407,Y   ,35:12.5
0229891,N   ,35:33.6
0163289,Y   ,35:34.0
0133373,Y   ,35:34.2
0220844,Y   ,35:34.5
0207129,Y   ,35:34.7
0240062,N   ,35:34.9
0215143,Y   ,35:56.2
0115357,Y   ,36:17.4
0202061,Y   ,36:17.8
0215909,Y   ,36:18.0
0181050,Y   ,36:18.3
0229289,N   ,36:18.5
0232134,N   ,36:18.7
0228989,N   ,36:18.8
0153633,Y   ,36:40.1
0204151,Y   ,36:40.4
0214887,Y   ,36:40.8
0076342,Y   ,36:40.9
0061481,Y   ,36:41.2
0072049,Y   ,36:41.4
0221764,N   ,36:41.6
0215618,Y   ,36:41.9
0134053,Y   ,37:03.3
0132142,Y   ,37:03.6
0005752,Y   ,37:04.0
0150326,Y   ,37:25.3
0222406,Y   ,37:25.6
0209276,Y   ,37:25.9
0228243,N   ,37:26.0
0182028,Y   ,37:26.2
0169186,Y   ,37:26.5
0184936,Y   ,37:47.8
0243106,N   ,37:48.0
0115139,Y   ,37:48.1
0036607,Y   ,37:48.4
0112084,Y   ,37:48.7
0179755,Y   ,37:49.0
0193990,Y   ,37:49.3
0200323,Y   ,37:49.5
0064606,Y   ,37:49.7
0167622,Y   ,38:53.0
0179753,Y   ,38:53.4
0136402,Y   ,38:53.7
0218976,Y   ,39:15.0
0161224,Y   ,39:15.3
0125632,Y   ,39:15.6
0240484,N   ,39:15.8
0217133,Y   ,39:16.1
